model,final_value_mae_eur,final_value_rmse_eur,final_value_r2,change_mae_eur,change_rmse_eur,change_r2
Tuned Random Forest,1988799.4700432185,3525424.906532063,0.9740814295943124,1988799.4700432182,3525424.906532063,0.24368919515649512
Tuned Gradient Boosting,2117067.060859758,3742824.5127838147,0.9707862682667402,2118250.4624130917,3743143.0595480925,0.14739039740173177
Linear Regression,2143256.500057346,3483872.012354822,0.9746888142861017,2168832.942952905,3493357.535175647,0.25738547150740754
